source,channel,tradition,cohort,id,title,url,image_url,year,query,family_count
Wikimedia Commons,commons,alchemy,control,194125870,File:(Diagram) Plate 30. (Chemistry Equipment or Apparatus). (IA dr diagram-plate-30-chemistry-equipment-or-apparatus-12190063).jpg,https://commons.wikimedia.org/wiki/File:(Diagram)_Plate_30._(Chemistry_Equipment_or_Apparatus)._(IA_dr_diagram-plate-30-chemistry-equipment-or-apparatus-12190063).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cb/%28Diagram%29_Plate_30._%28Chemistry_Equipment_or_Apparatus%29._%28IA_dr_diagram-plate-30-chemistry-equipment-or-apparatus-12190063%29.jpg/960px-%28Diagram%29_Plate_30._%28Chemistry_Equipment_or_Apparatus%29._%28IA_dr_diagram-plate-30-chemistry-equipment-or-apparatus-12190063%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,194125873,File:(Diagram) Plate 31. (Chemistry Equipment or Apparatus). (IA dr diagram-plate-31-chemistry-equipment-or-apparatus-12190064).jpg,https://commons.wikimedia.org/wiki/File:(Diagram)_Plate_31._(Chemistry_Equipment_or_Apparatus)._(IA_dr_diagram-plate-31-chemistry-equipment-or-apparatus-12190064).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/%28Diagram%29_Plate_31._%28Chemistry_Equipment_or_Apparatus%29._%28IA_dr_diagram-plate-31-chemistry-equipment-or-apparatus-12190064%29.jpg/960px-%28Diagram%29_Plate_31._%28Chemistry_Equipment_or_Apparatus%29._%28IA_dr_diagram-plate-31-chemistry-equipment-or-apparatus-12190064%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,194167521,"File:(Index Page) Contents of Chemistry, Mineralogy, and Geology (continued). (IA dr index-page-contents-of-chemistry-mineralogy-and-geology-continued-12190024).jpg","https://commons.wikimedia.org/wiki/File:(Index_Page)_Contents_of_Chemistry,_Mineralogy,_and_Geology_(continued)._(IA_dr_index-page-contents-of-chemistry-mineralogy-and-geology-continued-12190024).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1d/%28Index_Page%29_Contents_of_Chemistry%2C_Mineralogy%2C_and_Geology_%28continued%29._%28IA_dr_index-page-contents-of-chemistry-mineralogy-and-geology-continued-12190024%29.jpg/960px-%28Index_Page%29_Contents_of_Chemistry%2C_Mineralogy%2C_and_Geology_%28continued%29._%28IA_dr_index-page-contents-of-chemistry-mineralogy-and-geology-continued-12190024%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,194167505,"File:(Index Page) Contents of Chemistry, Mineralogy, and Geology. (IA dr index-page-contents-of-chemistry-mineralogy-and-geology-12190022).jpg","https://commons.wikimedia.org/wiki/File:(Index_Page)_Contents_of_Chemistry,_Mineralogy,_and_Geology._(IA_dr_index-page-contents-of-chemistry-mineralogy-and-geology-12190022).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/%28Index_Page%29_Contents_of_Chemistry%2C_Mineralogy%2C_and_Geology._%28IA_dr_index-page-contents-of-chemistry-mineralogy-and-geology-12190022%29.jpg/960px-%28Index_Page%29_Contents_of_Chemistry%2C_Mineralogy%2C_and_Geology._%28IA_dr_index-page-contents-of-chemistry-mineralogy-and-geology-12190022%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,60494655,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74653.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74653.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/83/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74653.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74653.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494748,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74654.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74654.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74654.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74654.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494750,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74655.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74655.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74655.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74655.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494747,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74656.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74656.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74656.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74656.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494759,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74657.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74657.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9f/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74657.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74657.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494751,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74658.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74658.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74658.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74658.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
