culture_group,premodern_n,mesh_n,mesh_rate,mesh_core_n,mesh_strong_n,strong_sources
Ancient Egypt / Coptic,36423,166,0.00455755978475139,4,0,Cleveland Museum of Art
Mesopotamia / Ancient Near East / Iran,12709,104,0.008183177275159336,2,0,Cleveland Museum of Art
Greek / Roman / Etruscan,36650,86,0.0023465211459754435,6,0,Cleveland Museum of Art; Walters Art Museum
Celtic / Insular / Norse,306,2,0.006535947712418301,0,0,
Byzantine / Eastern Christian,2103,10,0.004755111745126962,1,0,Cleveland Museum of Art
Islamic world,6633,142,0.021407809437660184,1,0,Cleveland Museum of Art
South Asia / Himalaya,4270,17,0.003981264637002342,2,0,Cleveland Museum of Art
China,12913,49,0.003794625571130411,12,1,Cleveland Museum of Art; Walters Art Museum
Japan,10581,18,0.0017011624600699366,0,0,
Korea,831,8,0.009626955475330927,0,0,
Southeast Asia,2148,0,0.0,0,0,
Mesoamerica,1871,5,0.002672367717797969,1,0,Walters Art Museum
Andes,3955,14,0.0035398230088495575,3,0,Cleveland Museum of Art; The Met
Sub-Saharan Africa,1414,17,0.012022630834512022,2,1,Cleveland Museum of Art; Walters Art Museum
Oceania,0,0,0.0,0,0,
Indigenous North America,27,0,0.0,0,0,
Medieval / early modern Europe,52293,188,0.0035947555124016593,8,1,Cleveland Museum of Art; Walters Art Museum
Other / unclassified,75208,202,0.002685884480374428,16,3,Cleveland Museum of Art; Walters Art Museum
