culture_group,source,id,title,date,culture_label,url,companion_score,motifs,image_url
Ancient Egypt / Coptic,Walters Art Museum,21030,Striding Male Figure,,,https://art.thewalters.org/detail/21030,2,mesh; axis; node,https://art.thewalters.org/images/art/PL7_22.30_3Qtr_BW.jpg
Ancient Egypt / Coptic,Walters Art Museum,33391,Infant Dionysus,,,https://art.thewalters.org/detail/33391,2,mesh; node; water,https://art.thewalters.org/images/art/PS1_54.1141_Fnt_DD_AT18-034462-tms.jpg
Ancient Egypt / Coptic,Walters Art Museum,3396,Juvenile God with a Sun Disk,,,https://art.thewalters.org/detail/3396,2,mesh; serpent; node,https://art.thewalters.org/images/art/CUR_54.1979_Fnt_DD_RS2009.jpg
Mesopotamia / Ancient Near East / Iran,Cleveland Museum of Art,1944.239,"Fragment with falconer and attendant in animated lattice, from a robe",mid-1500s,,https://clevelandart.org/art/1944.239,2,mesh; serpent; enclosure,https://piction.clevelandart.org/cma/ump.di?e=1F2805F10337A484914F22687D54E64B6A79CC0D78DC73FD30ECE3F2C47CE6D6&s=24247294&se=399313166&v=3&f=1944.239_w.jpg
Mesopotamia / Ancient Near East / Iran,Cleveland Museum of Art,1941.292,Fragment with star pattern and griffins,950–1050,Iraq or Iran Buyid period,https://clevelandart.org/art/1941.292,2,mesh; four_eight; node,https://piction.clevelandart.org/cma/ump.di?e=F6E6690A5982D5EFC2F19A9D5D79A7C47DB134AD052195AA1B9986533387B82E&s=24247294&se=399313166&v=4&f=1941.292_w.jpg
Greek / Roman / Etruscan,Walters Art Museum,79192,Assemblage from a Warrior's Burial,,,https://art.thewalters.org/detail/79192,2,mesh; enclosure; node,https://art.thewalters.org/images/art/PL1_57.1944-1947_Gp_TR_C79IA.jpg
Greek / Roman / Etruscan,Cleveland Museum of Art,1925.161,"Portrait Head of a Woman, Probably the Empress Faustina Minor",c. 165 CE,,https://clevelandart.org/art/1925.161,2,mesh; node; water,https://piction.clevelandart.org/cma/ump.di?e=4C8BEB524931B862B3A355D6C5304ED0E8D136420BD5BEB21A0F52A88AAB7AA2&s=24247294&se=116628280&v=4&f=1925.161_w.jpg
Greek / Roman / Etruscan,Walters Art Museum,9340,Diadem,,,https://art.thewalters.org/detail/9340,2,mesh; serpent; node,https://art.thewalters.org/images/art/PS4_57.1541_DD_AT19_3584-tms.jpg
Byzantine / Eastern Christian,Cleveland Museum of Art,1950.2,Fragment,900s–1000s,,https://clevelandart.org/art/1950.2,2,mesh; enclosure; node,https://piction.clevelandart.org/cma/ump.di?e=606D8B634EF987B8DD102E29E933C4D6F09487968D7F8BEFB75CE6F47D03C0B8&s=24247294&se=399313166&v=1&f=1950.2det02_w.jpg
Islamic world,Walters Art Museum,29902,Calyx on High Foot,,,https://art.thewalters.org/detail/29902,2,mesh; enclosure; node,https://art.thewalters.org/images/art/PL2_54.529_Fnt_BW.jpg
